district,current_votes,total_votes,percent
Louisiana’s 1st district,374369,374369,100
Louisiana’s 2nd district,316982,316982,100
Louisiana’s 3rd district,340120,340120,100
Louisiana’s 4th district,306578,306578,100
Louisiana’s 5th district,309556,309556,100
Louisiana’s 6th district,373996,373996,100
Maine’s 1st district,352234,453000,78
Maine’s 2nd district,326472,406000,80
Maryland’s 1st district,394778,411000,96
Maryland’s 2nd district,331191,354000,94
Maryland’s 3rd district,372475,385000,97
Maryland’s 4th district,353790,364000,97
Maryland’s 5th district,397735,408000,97
Maryland’s 6th district,366032,378000,97
Maryland’s 7th district,329983,360000,92
Maryland’s 8th district,401873,409000,98
Massachusetts’s 1st district,285332,285332,100
Massachusetts’s 2nd district,380136,382452,99
Massachusetts’s 3rd district,253302,293539,86
Massachusetts’s 4th district,363910,412823,88
Massachusetts’s 5th district,373670,396183,94
Massachusetts’s 6th district,405015,437677,93
Massachusetts’s 7th district,150204,308650,50
Massachusetts’s 8th district,311197,385401,81
Massachusetts’s 9th district,419109,424601,99
Michigan’s 1st district,416219,430000,97
Michigan’s 2nd district,403247,409000,99
Michigan’s 3rd district,403418,416000,97
Michigan’s 4th district,373245,388000,96
Michigan’s 5th district,361032,387000,94
Michigan’s 6th district,378420,395000,96
Michigan’s 7th district,387267,402000,96
Michigan’s 8th district,428344,443000,98
Michigan’s 9th district,399116,420000,95
Michigan’s 10th district,409786,423000,97
Michigan’s 11th district,450469,466000,97
Michigan’s 12th district,383823,400000,96
Michigan’s 13th district,285879,314000,91
Michigan’s 14th district,342303,377000,91
Minnesota’s 1st district,368475,399000,92
Minnesota’s 2nd district,423071,443000,96
Minnesota’s 3rd district,438580,457000,96
Minnesota’s 4th district,384553,419000,92
Minnesota’s 5th district,396781,427000,93
Minnesota’s 6th district,413623,427000,97
Minnesota’s 7th district,352069,395000,89
Minnesota’s 8th district,393064,421000,93
Mississippi’s 1st district,333005,342000,97
Mississippi’s 2nd district,297571,321000,93
Mississippi’s 3rd district,340427,357000,95
Mississippi’s 4th district,264630,284000,93
Missouri’s 1st district,315793,352000,90
Missouri’s 2nd district,449276,467000,96
Missouri’s 3rd district,406861,417000,98
Missouri’s 4th district,362636,375000,97
Missouri’s 5th district,351390,362000,97
Missouri’s 6th district,388063,390000,100
Missouri’s 7th district,367990,357000,100
Missouri’s 8th district,329996,350000,94
Montana at large,601509,601509,100
Nebraska’s 1st district,317566,310000,100
Nebraska’s 2nd district,336962,323000,100
Nebraska’s 3rd district,286824,299000,96
Nevada’s 1st district,223213,244000,91
Nevada’s 2nd district,382673,405000,94
Nevada’s 3rd district,417252,404000,100
Nevada’s 4th district,332469,344000,97
New Hampshire’s 1st district,400595,400595,100
New Hampshire’s 2nd district,386347,386347,100
New Jersey’s 1st district,360876,376000,96
New Jersey’s 2nd district,352437,373000,94
New Jersey’s 3rd district,425804,424000,100
New Jersey’s 4th district,419489,407000,100
New Jersey’s 5th district,423335,416000,100
New Jersey’s 6th district,326401,331000,99
New Jersey’s 7th district,433944,431000,100
New Jersey’s 8th district,189382,262000,72
New Jersey’s 9th district,304855,316000,96
New Jersey’s 10th district,271108,313000,87
New Jersey’s 11th district,441105,442000,100
New Jersey’s 12th district,351725,359000,98
New Mexico’s 1st district,321290,321290,100
New Mexico’s 2nd district,264946,264946,100
New Mexico’s 3rd district,317448,317448,100
New York’s 1st district,287591,374000,77
New York’s 2nd district,291322,348000,84
New York’s 3rd district,323726,380000,85
New York’s 4th district,354714,371000,96
New York’s 5th district,187703,270000,70
New York’s 6th district,169455,228000,74
New York’s 7th district,171880,225000,76
New York’s 8th district,212013,281000,75
New York’s 9th district,209692,280000,75
New York’s 10th district,175271,289000,61
New York’s 11th district,235606,276000,85
New York’s 12th district,194520,338000,58
New York’s 13th district,199123,278000,72
New York’s 14th district,153374,215000,71
New York’s 15th district,154669,209000,74
New York’s 16th district,195338,309000,63
New York’s 17th district,284362,350000,81
New York’s 18th district,277159,342000,81
New York’s 19th district,304743,355000,86
New York’s 20th district,311148,358000,87
New York’s 21st district,289706,311000,93
New York’s 22nd district,296986,322000,92
New York’s 23rd district,278684,322000,87
New York’s 24th district,315565,343000,92
New York’s 25th district,345999,363000,95
New York’s 26th district,256102,335000,76
New York’s 27th district,333366,385000,87
North Carolina’s 1st district,348618,348618,100
North Carolina’s 2nd district,495344,495344,100
North Carolina’s 3rd district,362552,362552,100
North Carolina’s 4th district,493725,493725,100
North Carolina’s 5th district,385242,385242,100
North Carolina’s 6th district,407127,407127,100
North Carolina’s 7th district,451501,452000,100
North Carolina’s 8th district,380555,381000,100
North Carolina’s 9th district,401530,402000,100
North Carolina’s 10th district,412165,413000,100
North Carolina’s 11th district,450144,450144,100
North Carolina’s 12th district,341457,341457,100
North Carolina’s 13th district,391865,391865,100
North Dakota at large,355223,355223,100
Ohio’s 1st district,385342,416000,93
Ohio’s 2nd district,377325,405000,93
Ohio’s 3rd district,321523,359000,90
Ohio’s 4th district,347586,370000,94
Ohio’s 5th district,377798,410000,92
Ohio’s 6th district,334102,365000,92
Ohio’s 7th district,350549,375000,93
Ohio’s 8th district,357064,391000,91
Ohio’s 9th district,301959,344000,88
Ohio’s 10th district,364948,401000,91
Ohio’s 11th district,302421,369000,82
Ohio’s 12th district,437672,446000,98
Ohio’s 13th district,330801,365000,91
Ohio’s 14th district,397083,421000,94
Ohio’s 15th district,381830,406000,94
Ohio’s 16th district,396962,421000,94
Oklahoma’s 1st district,335471,335471,100
Oklahoma’s 2nd district,288527,288527,100
Oklahoma’s 3rd district,309178,309178,100
Oklahoma’s 4th district,314358,314358,100
Oklahoma’s 5th district,303849,303849,100
Oregon’s 1st district,458999,437000,100
Oregon’s 2nd district,456810,435000,100
Oregon’s 3rd district,469885,455000,100
Oregon’s 4th district,481807,447000,100
Oregon’s 5th district,451752,426000,100
Pennsylvania’s 1st district,441679,452000,98
Pennsylvania’s 2nd district,273351,330000,83
Pennsylvania’s 3rd district,375650,434000,87
Pennsylvania’s 4th district,444564,444000,100
Pennsylvania’s 5th district,395707,427000,93
Pennsylvania’s 6th district,403966,410000,99
Pennsylvania’s 7th district,379651,386000,98
Pennsylvania’s 8th district,344671,363000,95
Pennsylvania’s 9th district,351391,366000,96
Pennsylvania’s 10th district,391834,405000,97
Pennsylvania’s 11th district,383240,387000,99
Pennsylvania’s 12th district,339824,356000,95
Pennsylvania’s 13th district,364625,371000,98
Pennsylvania’s 14th district,373609,387000,97
Pennsylvania’s 15th district,347210,359000,97
Pennsylvania’s 16th district,353972,375000,94
Pennsylvania’s 17th district,434521,446000,97
Pennsylvania’s 18th district,384247,420000,91
Rhode Island’s 1st district,222307,242000,92
Rhode Island’s 2nd district,263980,268000,98
South Carolina’s 1st district,426669,427111,100
South Carolina’s 2nd district,363996,364215,100
South Carolina’s 3rd district,333256,333564,100
South Carolina’s 4th district,360239,360550,100
South Carolina’s 5th district,365963,366258,100
South Carolina’s 6th district,289381,289653,100
South Carolina’s 7th district,363856,364091,100
South Dakota at large,397732,397732,100
Tennessee’s 1st district,304651,308000,99
Tennessee’s 2nd district,352319,337000,100
Tennessee’s 3rd district,319850,321000,100
Tennessee’s 4th district,334438,321000,100
Tennessee’s 5th district,250001,277000,90
Tennessee’s 6th district,349052,346000,100
Tennessee’s 7th district,349952,339000,100
Tennessee’s 8th district,331251,345000,96
Tennessee’s 9th district,242082,258000,94
Texas’s 1st district,302742,339000,89
Texas’s 2nd district,351609,364000,97
Texas’s 3rd district,418591,418000,100
Texas’s 4th district,340861,361000,94
Texas’s 5th district,280413,301000,93
Texas’s 6th district,339992,360000,94
Texas’s 7th district,314125,337000,93
Texas’s 8th district,382471,381000,100
Texas’s 9th district,229107,247000,93
Texas’s 10th district,413894,413000,100
Texas’s 11th district,291572,321000,92
Texas’s 12th district,367021,365000,100
Texas’s 13th district,273950,309000,89
Texas’s 14th district,309115,340000,91
Texas’s 15th district,228917,238000,97
Texas’s 16th district,238114,249000,96
Texas’s 17th district,306873,325000,94
Texas’s 18th district,246895,266000,93
Texas’s 19th district,265060,295000,90
Texas’s 20th district,270723,280000,97
Texas’s 21st district,449145,471000,95
Texas’s 22nd district,408048,402000,100
Texas’s 23rd district,295460,304000,99
Texas’s 24th district,344021,362000,95
Texas’s 25th district,393523,411000,96
Texas’s 26th district,432215,412000,100
Texas’s 27th district,273253,303000,90
Texas’s 28th district,235844,244000,97
Texas’s 29th district,156473,173000,90
Texas’s 30th district,264464,285000,93
Texas’s 31st district,398087,377000,100
Texas’s 32nd district,343687,365000,94
Texas’s 33rd district,157606,168000,94
Texas’s 34th district,201095,222000,91
Texas’s 35th district,269797,259000,100
Texas’s 36th district,302540,329000,92
Utah’s 1st district,342351,342223,100
Utah’s 2nd district,354224,354224,100
Utah’s 3rd district,358927,358670,100
Utah’s 4th district,376730,377351,100
Vermont at large,354839,354837,100
Virginia’s 1st district,447537,447537,100
Virginia’s 2nd district,359934,382000,99
Virginia’s 3rd district,340625,340625,100
Virginia’s 4th district,390767,390767,100
Virginia’s 5th district,401303,401303,100
Virginia’s 6th district,381335,381335,100
Virginia’s 7th district,453516,453516,100
Virginia’s 8th district,396819,396819,100
Virginia’s 9th district,271851,271851,100
Virginia’s 10th district,474987,474987,100
Virginia’s 11th district,392105,392105,100
Washington’s 1st district,425710,398000,100
Washington’s 2nd district,403636,379000,100
Washington’s 3rd district,416926,360000,100
Washington’s 4th district,304472,277000,100
Washington’s 5th district,403552,371000,100
Washington’s 6th district,416212,380000,100
Washington’s 7th district,465349,474000,98
Washington’s 8th district,411362,373000,100
Washington’s 9th district,348468,332000,100
Washington’s 10th district,289268,337000,86
West Virginia’s 1st district,261682,269000,97
West Virginia’s 2nd district,272994,276000,99
West Virginia’s 3rd district,226426,241000,94
Wisconsin’s 1st district,401441,401441,100
Wisconsin’s 2nd district,456829,456829,100
Wisconsin’s 3rd district,389504,389504,100
Wisconsin’s 4th district,311348,311348,100
Wisconsin’s 5th district,441336,441336,100
Wisconsin’s 6th district,403333,403333,100
Wisconsin’s 7th district,414787,414787,100
Wisconsin’s 8th district,417731,417731,100
Wyoming at large,270367,270367,100
Alabama’s 1st district,328774,328774,100
Alabama’s 2nd district,303569,303569,100
Alabama’s 3rd district,321979,321979,100
Alabama’s 4th district,317790,317790,100
Alabama’s 5th district,253094,253094,100
Alabama’s 6th district,282261,282261,100
Alabama’s 7th district,225742,225742,100
Alaska at large,352492,367000,99
Arizona’s 1st district,365178,365178,100
Arizona’s 2nd district,380920,380920,100
Arizona’s 3rd district,269837,269837,100
Arizona’s 4th district,398528,398528,100
Arizona’s 5th district,445585,445585,100
Arizona’s 6th district,417427,417427,100
Arizona’s 7th district,215678,215678,100
Arizona’s 8th district,422449,422449,100
Arizona’s 9th district,352274,352274,100
Arkansas’s 1st district,237596,235000,100
Arkansas’s 2nd district,332503,344000,97
Arkansas’s 3rd district,334262,328000,100
Arkansas’s 4th district,275035,304000,93
California’s 10th district,299545,276000,100
California’s 11th district,371294,357000,100
California’s 12th district,362600,381000,95
California’s 13th district,362711,381000,95
California’s 14th district,350791,340000,100
California’s 15th district,342591,325000,100
California’s 16th district,215722,194000,100
California’s 17th district,297251,284000,100
California’s 18th district,344002,382000,90
California’s 19th district,296694,294000,100
California’s 1st district,356325,358000,100
California’s 20th district,307229,293000,100
California’s 22nd district,314425,274000,100
California’s 23rd district,304456,280000,100
California’s 24th district,362343,356000,100
California’s 26th district,344619,334000,100
California’s 27th district,316934,302000,100
California’s 28th district,335809,330000,100
California’s 29th district,210667,208000,100
California’s 2nd district,387054,394000,98
California’s 30th district,345015,346000,100
California’s 31st district,285279,261000,100
California’s 32nd district,259444,251000,100
California’s 33rd district,379946,404000,94
California’s 34th district,205046,196000,100
California’s 35th district,243671,215000,100
California’s 36th district,306419,271000,100
California’s 37th district,296215,315000,94
California’s 38th district,255907,264000,97
California’s 3rd district,302970,299000,100
California’s 40th district,186124,188000,99
California’s 41st district,261966,236000,100
California’s 42nd district,356840,306000,100
California’s 43rd district,277521,267000,100
California’s 44th district,205720,210000,98
California’s 45th district,405977,372000,100
California’s 46th district,222221,206000,100
California’s 47th district,307929,295000,100
California’s 48th district,390474,362000,100
California’s 49th district,384181,362000,100
California’s 4th district,424284,403000,100
California’s 50th district,362213,334000,100
California’s 51st district,241095,235000,100
California’s 52nd district,396498,376000,100
California’s 53rd district,334740,354000,95
California’s 5th district,346073,348000,99
California’s 6th district,312684,278000,100
California’s 7th district,383949,347000,100
California’s 8th district,282293,266000,100
California’s 9th district,292026,272000,100
Colorado’s 1st district,450293,475000,95
Colorado’s 2nd district,515663,557000,93
Colorado’s 3rd district,429029,449000,96
Colorado’s 4th district,475107,475000,100
Colorado’s 5th district,432407,439000,98
Colorado’s 6th district,438562,449000,98
Colorado’s 7th district,423691,442000,96
Connecticut’s 1st district,351036,369000,95
Connecticut’s 2nd district,367245,382000,96
Connecticut’s 3rd district,389518,361000,100
Connecticut’s 4th district,361891,368000,98
Connecticut’s 5th district,349598,362000,97
United States’s 0th district,150285402,154569492,97
California’s 21st district,168992,154000,100
California’s 25th district,338345,315000,100
California’s 39th district,343392,314000,100
